time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,3,3,0,0
2026-08-29 00:00:00+00:00,5,3,0,0
2026-08-30 00:00:00+00:00,5,5,0,0
2026-08-31 00:00:00+00:00,6,5,1,1
2026-09-01 00:00:00+00:00,3,3,4,3
2026-09-02 00:00:00+00:00,4,4,5,4
2026-09-03 00:00:00+00:00,8,7,0,0
2026-09-04 00:00:00+00:00,13,6,0,0
2026-09-05 00:00:00+00:00,4,4,0,0
2026-09-06 00:00:00+00:00,7,6,0,0
2026-09-07 00:00:00+00:00,5,4,1,1
2026-09-08 00:00:00+00:00,5,5,0,0
2026-09-09 00:00:00+00:00,444,38,131,4
2026-09-10 00:00:00+00:00,48,19,8,1
