url_path,views_total,views_unique
/equinor/power-platform-skills/pull/6,45,1
/equinor/power-platform-skills,27,9
/equinor/power-platform-skills/pulls,18,1
/equinor/power-platform-skills/pull/6/checks,12,1
/equinor/power-platform-skills/pull/5,2,1
/equinor/power-platform-skills/pull/5/changes,2,1
/equinor/power-platform-skills/security/code-scanning,2,1
/equinor/power-platform-skills/tree/main,2,1
/equinor/power-platform-skills/tree/sync/upstream-2026-09-09,2,1
/equinor/power-platform-skills/actions/metrics/usage,1,1
