url_path,views_total,views_unique
/equinor/power-platform-skills,27,5
/equinor/power-platform-skills/pulls,6,1
/equinor/power-platform-skills/actions/new,4,1
/equinor/power-platform-skills/branches,4,1
/equinor/power-platform-skills/tree/main/.github,3,1
/equinor/power-platform-skills/tree/main/.github/agents,3,1
/equinor/power-platform-skills/blob/main/.github/agents/sync-upstream.agent.md,2,1
/equinor/power-platform-skills/security/code-scanning,2,1
/equinor/power-platform-skills/security/secret-scanning,2,1
/equinor/power-platform-skills/tree/github-repo-stats/equinor/power-platform-skills,2,1
