time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,0,0,0,0
2026-05-15 00:00:00+00:00,0,0,0,0
2026-05-16 00:00:00+00:00,0,0,0,0
2026-05-17 00:00:00+00:00,0,0,0,0
2026-05-18 00:00:00+00:00,0,0,0,0
2026-05-19 00:00:00+00:00,0,0,0,0
2026-05-20 00:00:00+00:00,0,0,0,0
2026-05-21 00:00:00+00:00,0,0,0,0
2026-05-22 00:00:00+00:00,52,17,6,1
2026-05-23 00:00:00+00:00,35,17,0,0
2026-05-24 00:00:00+00:00,30,17,36,4
2026-05-25 00:00:00+00:00,41,5,1,1
2026-05-26 00:00:00+00:00,5,2,8,5
2026-05-27 00:00:00+00:00,37,17,7,1
2026-05-28 00:00:00+00:00,179,45,6,1
2026-05-29 00:00:00+00:00,21,12,1,1
2026-05-30 00:00:00+00:00,13,7,0,0
2026-05-31 00:00:00+00:00,46,13,0,0
2026-06-01 00:00:00+00:00,13,7,2,1
2026-06-02 00:00:00+00:00,22,7,1,1
2026-06-03 00:00:00+00:00,17,8,4,3
2026-06-04 00:00:00+00:00,23,8,5,1
2026-06-05 00:00:00+00:00,15,6,4,3
2026-06-06 00:00:00+00:00,15,6,0,0
2026-06-07 00:00:00+00:00,17,8,0,0
2026-06-08 00:00:00+00:00,15,6,0,0
2026-06-09 00:00:00+00:00,190,29,13,2
2026-06-10 00:00:00+00:00,8,5,1,1
2026-06-11 00:00:00+00:00,20,9,2,2
2026-06-12 00:00:00+00:00,22,9,11,2
2026-06-13 00:00:00+00:00,19,9,0,0
2026-06-14 00:00:00+00:00,32,10,0,0
2026-06-15 00:00:00+00:00,23,9,0,0
2026-06-16 00:00:00+00:00,22,8,0,0
2026-06-17 00:00:00+00:00,25,10,0,0
2026-06-18 00:00:00+00:00,63,18,1,1
2026-06-19 00:00:00+00:00,27,8,0,0
2026-06-20 00:00:00+00:00,11,6,0,0
2026-06-21 00:00:00+00:00,28,11,0,0
2026-06-22 00:00:00+00:00,9,4,1,1
2026-06-23 00:00:00+00:00,15,6,0,0
2026-06-24 00:00:00+00:00,12,7,0,0
2026-06-25 00:00:00+00:00,6,4,3,3
2026-06-26 00:00:00+00:00,16,6,4,2
2026-06-27 00:00:00+00:00,16,7,0,0
2026-06-28 00:00:00+00:00,22,9,0,0
2026-06-29 00:00:00+00:00,11,6,0,0
2026-06-30 00:00:00+00:00,183,16,21,3
2026-07-01 00:00:00+00:00,13,7,0,0
2026-07-02 00:00:00+00:00,14,8,0,0
2026-07-03 00:00:00+00:00,17,7,5,2
2026-07-04 00:00:00+00:00,18,9,1,1
2026-07-05 00:00:00+00:00,4,3,0,0
2026-07-06 00:00:00+00:00,14,5,0,0
2026-07-07 00:00:00+00:00,24,10,6,3
2026-07-08 00:00:00+00:00,15,6,2,1
2026-07-09 00:00:00+00:00,10,4,5,1
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,1,1,0,0
2026-07-12 00:00:00+00:00,16,7,0,0
2026-07-13 00:00:00+00:00,14,9,0,0
2026-07-14 00:00:00+00:00,17,8,0,0
2026-07-15 00:00:00+00:00,16,7,0,0
2026-07-16 00:00:00+00:00,5,3,0,0
2026-07-17 00:00:00+00:00,14,5,0,0
2026-07-18 00:00:00+00:00,19,10,0,0
2026-07-19 00:00:00+00:00,18,9,0,0
2026-07-20 00:00:00+00:00,7,3,0,0
2026-07-21 00:00:00+00:00,14,5,0,0
2026-07-22 00:00:00+00:00,18,9,1,1
2026-07-23 00:00:00+00:00,14,5,12,1
2026-07-24 00:00:00+00:00,17,8,4,2
2026-07-25 00:00:00+00:00,14,9,2,2
2026-07-26 00:00:00+00:00,11,7,0,0
2026-07-27 00:00:00+00:00,15,6,0,0
2026-07-28 00:00:00+00:00,9,5,0,0
2026-07-29 00:00:00+00:00,2,2,0,0
2026-07-30 00:00:00+00:00,13,6,0,0
2026-07-31 00:00:00+00:00,7,3,0,0
2026-08-01 00:00:00+00:00,10,5,1,1
2026-08-02 00:00:00+00:00,3,3,0,0
2026-08-03 00:00:00+00:00,9,5,1,1
2026-08-04 00:00:00+00:00,4,4,3,2
2026-08-05 00:00:00+00:00,3,3,1,1
2026-08-06 00:00:00+00:00,9,4,0,0
2026-08-07 00:00:00+00:00,37,14,0,0
2026-08-08 00:00:00+00:00,21,8,0,0
2026-08-09 00:00:00+00:00,10,5,0,0
2026-08-10 00:00:00+00:00,3,3,1,1
2026-08-11 00:00:00+00:00,2,2,0,0
2026-08-12 00:00:00+00:00,2,2,1,1
2026-08-13 00:00:00+00:00,5,3,0,0
2026-08-14 00:00:00+00:00,2,2,0,0
2026-08-15 00:00:00+00:00,9,4,0,0
2026-08-16 00:00:00+00:00,9,5,0,0
2026-08-17 00:00:00+00:00,14,6,1,1
2026-08-18 00:00:00+00:00,10,6,0,0
2026-08-19 00:00:00+00:00,2,2,1,1
2026-08-20 00:00:00+00:00,5,3,0,0
2026-08-21 00:00:00+00:00,2,2,11,1
2026-08-22 00:00:00+00:00,10,5,0,0
2026-08-23 00:00:00+00:00,12,7,0,0
2026-08-24 00:00:00+00:00,9,4,4,2
